,0
965,-34.35724865318326
966,-23.864792684402232
967,-22.436987615449368
968,-21.538889178647544
969,-0.23792289047584791
970,-3.6206372311826307
971,12.065862932908678
972,10.578972211105803
973,-6.702629489357075
974,-0.40074890381376704
975,-9.109134712387688
976,-12.586849725090673
977,-3.858424078486151
978,-14.193856173139398
979,-5.8020438585243514
980,-20.746565754537237
981,-36.1435163814259
982,-45.37885587396191
983,-22.944122402808645
984,8.17976755946868
985,11.350736677021988
986,0.4342415651287448
987,17.862346526656047
988,2.4194656984017713
989,2.2396432230558587
990,6.911165217602538
991,12.395310485919708
992,-6.47937030045186
993,-8.69001949735108
994,4.693317827565318
995,-4.027509072905396
996,-10.659799004131541
997,4.885679240685934
998,16.222214239876223
999,-6.2646277987772265
1000,-16.65995711451051
1001,-9.520601767608948
1002,-0.40551820799215754
1003,-4.662800909125174
1004,-10.789169907527135
1005,-20.340272216870034
1006,-23.987016373544222
1007,-12.858739606836103
1008,-15.98651354429538
1009,2.587170192679525
1010,-6.031607455779912
1011,-4.500511502323105
1012,-1.296767199327986
1013,5.966550003758392
1014,7.390221214647524
1015,20.03253872033101
1016,22.84173784335721
1017,23.362071709027628
1018,-9.502580742778523
1019,-29.623416257505063
1020,7.8334507161994615
1021,8.144505595158538
1022,7.663905313893918
1023,-7.096538617257411
1024,-6.04388415576987
1025,18.536270266293613
1026,28.728249324278874
1027,-5.233932150595418
1028,-14.26062353259595
1029,18.96199227471078
1030,8.615061514882319
1031,2.7551218750920192
1032,14.485867159037234
1033,1.5321977739496813
1034,-6.988881364506736
1035,-8.04074356058437
1036,-16.831567057243277
1037,-28.6110772009214
1038,-18.97276139741608
1039,-16.46952379991686
1040,-20.509267482797682
1041,-7.542497731433226
1042,-13.639990619669282
1043,-12.304388255720422
1044,3.582708578220311
1045,11.68494277014069
1046,20.772610895904492
1047,18.998511821586128
1048,-4.079238507896655
1049,16.033471367482292
1050,6.173605244532521
1051,-0.8816272023691312
1052,1.7921023840759052
1053,16.776199409204807
1054,11.253072694255536
1055,-1.938852047748881
1056,-6.277577747630181
1057,-9.773429645834877
1058,-8.669551195744926
1059,-11.994901626706035
1060,-16.47789782112426
1061,-6.273270168576012
1062,12.4767633604235
1063,-9.082705087283337
1064,-16.831235668736536
1065,-15.63835147536685
1066,-18.937082471629846
1067,-19.61781982977899
1068,-10.663922917445174
1069,1.7965624216404574
1070,-7.211443453667043
1071,-13.980250737048232
1072,5.3486369475970585
1073,2.4694845382377473
1074,-9.347621063658282
1075,2.905496729369915
1076,16.06638789342665
1077,-2.0792760617420303
1078,-8.035581536367728
1079,11.988571826249931
1080,10.701885783599225
1081,-17.19287881703185
1082,-9.278435389756101
1083,4.343958074103963
1084,3.2006583576410854
1085,14.491040115168705
1086,16.899532485652955
1087,6.697651595184949
1088,13.613120939210935
1089,9.831280086640081
1090,20.63182677188491
1091,8.809787442829172
1092,10.159758596349008
1093,21.766633651087396
1094,12.391826191287986
1095,0.891706092022762
1096,20.84222489304533
1097,15.336171955873771
1098,5.101119471300699
1099,7.3431160689098505
1100,29.036900915267342
1101,60.43854494531112
1102,51.74530931620701
1103,20.866623855617224
1104,22.42794690132959
1105,43.95356123664727
1106,25.49361416498109
1107,10.488642930788586
1108,25.690275092953176
1109,20.061930997692876
1110,21.571316221851173
1111,15.603416228082883
1112,22.626041338229218
1113,2.480812431691059
1114,14.694549814497952
1115,38.45321224905696
1116,27.81976051198661
1117,26.00650848249977
1118,28.24951507307786
1119,38.02771730283015
1120,46.91557854386862
1121,17.23450560333976
1122,11.794099745667125
1123,0.5910538697212999
1124,-4.281392960230498
1125,-22.369987864626275
1126,5.47434384899745
1127,14.490033929316908
1128,34.15271384157792
1129,14.136495948798608
1130,10.00236415382991
1131,14.858090289834252
1132,11.143452715671028
1133,-9.791301651585153
1134,-35.24776897357158
1135,-33.788651160899065
1136,-7.052661995231761
1137,-24.594454657945953
1138,-39.877365930233175
1139,-4.355851340127076
1140,13.294411720784034
1141,2.0279645414321488
1142,5.437203011446522
1143,-0.5403718967183568
1144,21.111087030169994
1145,41.2333282914372
1146,26.55215241131893
1147,15.362352706764739
1148,7.867561314090345
1149,-5.560484960367912
1150,4.4094368578249785
1151,21.91610162230932
1152,14.375017656896336
1153,-0.974993555406618
1154,-15.274266955921703
1155,-13.001382562334026
1156,5.640638322503625
1157,5.398527787506804
1158,-22.21567864330351
1159,-5.108251656015323
1160,-20.766478918578603
1161,-0.8589574650446958
1162,17.946208134650526
1163,-1.940948787110036
1164,-6.365425686222729
1165,-4.6277288889160095
1166,-4.035906736086108
1167,-0.8333092964280766
1168,-7.159614863877813
1169,-16.199718096985645
1170,-6.421161773427311
1171,9.672853850761516
1172,7.008535659333198
1173,-7.7464490635613314
1174,-14.097296647153808
1175,-17.518980013520586
1176,-24.083693008186685
1177,-25.49057207576204
1178,-24.058553023737048
1179,-11.601268387952267
1180,-9.782088411091387
1181,-31.445993427863694
1182,-13.499792567296563
1183,-12.314198975142057
1184,-27.670404569276386
1185,-25.79819390244332
1186,-27.007372908801702
1187,-24.710689097096267
1188,-17.197174341279577
1189,-23.112248994364037
1190,-32.79038674871192
1191,-43.63755006623669
1192,-19.120598489173503
1193,-2.0369517323752007
1194,-9.832987049950386
1195,-5.348457156648301
1196,0.022407654286718426
1197,-33.685649125298184
1198,-31.835403799061808
1199,-16.29056069842954
1200,6.05289666879121
1201,16.590934390395983
1202,-16.138819294554928
1203,-27.76834833083729
1204,-26.56338651484187
1205,-32.21875818758634
1206,-16.343240784731265
1207,-0.6870457977662605
1208,10.609210830423125
1209,10.246023586046745
1210,6.036641576875379
1211,-4.063429457017838
1212,-13.769851527734469
1213,-36.402127161555995
1214,-32.37843050188068
1215,-10.663247418006359
1216,0.9067307086928107
1217,6.821639461818977
1218,15.407823881516478
1219,-18.566498990678816
1220,-30.726355692666814
1221,-29.61922081337628
1222,-10.662670441192684
1223,-7.208303267376566
1224,-2.0908521460578626
1225,11.53053127766361
1226,16.317735111991738
1227,-19.069162578532943
1228,-25.178808439426383
1229,-8.794394883849915
1230,-22.05517274996824
